Pobreza binaria,POBREZA,,Ingresos,Nivel de Estudio alcanzado,Grupo de Edad,,4162
1,3,,"10,000.00",4,6,,
1,3,,"10,000.00",3,6,,
0,2,,"10,000.00",5,6,,
0,2,,"10,000.00",5,6,,
0,2,,"10,000.00",2,6,,
1,3,,"10,000.00",5,6,,
0,2,,"10,000.00",4,6,,
1,3,,"10,000.00",5,6,,
1,3,,"10,000.00",3,5,,
1,3,,"10,000.00",4,5,,
1,3,,"10,000.00",5,5,,
0,2,,"10,000.00",2,5,,
1,3,,"10,000.00",4,5,,
0,2,,"10,000.00",2,5,,
1,3,,"9,960.00",4,13,,
1,3,,"9,872.00",5,11,,
1,3,,"9,760.00",4,10,,
1,3,,"9,760.00",5,10,,
1,3,,"9,760.00",4,10,,
1,3,,"9,600.00",3,12,,
1,3,,"9,600.00",2,11,,
1,3,,"9,600.00",5,10,,
1,3,,"9,600.00",3,10,,
1,3,,"9,600.00",3,7,,
1,3,,"9,500.00",4,8,,
1,3,,"9,500.00",5,8,,
1,3,,"9,500.00",4,7,,
1,3,,"9,476.00",6,8,,
0,2,,"9,400.00",4,12,,
0,2,,"9,400.00",5,11,,
1,3,,"9,400.00",4,10,,
1,3,,"9,375.00",4,11,,
1,3,,"9,300.00",4,11,,
1,3,,"9,200.00",4,12,,
1,3,,"9,200.00",5,11,,
1,3,,"9,200.00",5,11,,
1,3,,"9,200.00",6,5,,
1,3,,"9,000.00",5,16,,
1,3,,"9,000.00",5,12,,
1,3,,"9,000.00",6,12,,
1,3,,"9,000.00",4,12,,
1,3,,"9,000.00",5,12,,
1,3,,"9,000.00",5,11,,
1,3,,"9,000.00",4,11,,
1,3,,"9,000.00",5,11,,
1,3,,"9,000.00",4,11,,
1,3,,"9,000.00",4,10,,
1,3,,"9,000.00",3,10,,
1,3,,"9,000.00",5,9,,
0,2,,"9,000.00",5,9,,
1,3,,"9,000.00",5,9,,
1,3,,"9,000.00",5,9,,
1,3,,"9,000.00",5,9,,
1,3,,"9,000.00",6,9,,
1,3,,"9,000.00",5,9,,
1,3,,"9,000.00",6,9,,
1,3,,"9,000.00",4,9,,
1,3,,"9,000.00",5,8,,
1,3,,"9,000.00",5,8,,
1,3,,"9,000.00",5,7,,
1,3,,"9,000.00",5,6,,
1,3,,"8,900.00",3,12,,
1,3,,"8,900.00",5,10,,
1,3,,"8,676.00",5,9,,
1,3,,"8,620.00",5,8,,
1,3,,"8,600.00",3,11,,
1,3,,"8,560.00",4,11,,
1,3,,"8,557.00",5,10,,
1,3,,"8,500.00",5,12,,
1,3,,"8,500.00",4,10,,
1,3,,"8,500.00",4,10,,
1,3,,"8,500.00",5,9,,
1,3,,"8,500.00",5,9,,
1,3,,"8,500.00",4,8,,
1,3,,"8,500.00",5,7,,
1,3,,"8,400.00",4,13,,
0,2,,"8,400.00",5,11,,
1,3,,"8,400.00",4,9,,
1,3,,"8,400.00",4,9,,
1,3,,"8,400.00",5,8,,
1,3,,"8,385.00",5,11,,
0,2,,"8,380.00",5,9,,
1,3,,"8,334.00",5,11,,
1,3,,"8,300.00",2,11,,
1,3,,"8,300.00",5,9,,
1,3,,"8,291.00",5,7,,
1,3,,"8,281.00",5,9,,
1,3,,"8,251.00",4,8,,
1,3,,"8,250.00",2,7,,
1,3,,"8,227.00",5,10,,
1,3,,"8,200.00",5,11,,
1,3,,"8,200.00",5,10,,
1,3,,"8,200.00",5,8,,
1,3,,"8,200.00",5,8,,
1,3,,"8,200.00",5,8,,
1,3,,"8,100.00",5,11,,
1,3,,"8,036.00",5,10,,
1,3,,"8,000.00",5,14,,
1,3,,"8,000.00",4,14,,
1,3,,"8,000.00",3,13,,
1,3,,"8,000.00",5,13,,
1,3,,"8,000.00",5,13,,
1,3,,"8,000.00",4,13,,
1,3,,"8,000.00",5,13,,
1,3,,"8,000.00",4,13,,
1,3,,"8,000.00",5,12,,
1,3,,"8,000.00",4,12,,
0,2,,"8,000.00",5,12,,
1,3,,"8,000.00",2,12,,
1,3,,"8,000.00",5,12,,
1,3,,"8,000.00",5,11,,
1,3,,"8,000.00",4,11,,
1,3,,"8,000.00",2,11,,
1,3,,"8,000.00",5,11,,
1,3,,"8,000.00",5,11,,
1,3,,"8,000.00",5,11,,
1,3,,"8,000.00",4,11,,
0,2,,"8,000.00",2,11,,
1,3,,"8,000.00",3,11,,
1,3,,"8,000.00",2,10,,
1,3,,"8,000.00",5,10,,
1,3,,"8,000.00",5,10,,
0,2,,"8,000.00",2,10,,
0,1,,"8,000.00",2,10,,
1,3,,"8,000.00",4,10,,
1,3,,"8,000.00",2,10,,
1,3,,"8,000.00",4,10,,
1,3,,"8,000.00",4,10,,
1,3,,"8,000.00",4,10,,
1,3,,"8,000.00",5,10,,
1,3,,"8,000.00",4,10,,
1,3,,"8,000.00",5,9,,
0,2,,"8,000.00",4,9,,
1,3,,"8,000.00",4,9,,
1,3,,"8,000.00",4,9,,
1,3,,"8,000.00",5,9,,
1,3,,"8,000.00",4,9,,
1,3,,"8,000.00",5,9,,
1,3,,"8,000.00",4,9,,
1,3,,"8,000.00",5,9,,
1,3,,"8,000.00",4,9,,
1,3,,"8,000.00",4,9,,
1,3,,"8,000.00",5,9,,
1,3,,"8,000.00",4,9,,
1,3,,"8,000.00",3,9,,
1,3,,"8,000.00",5,9,,
0,2,,"8,000.00",5,9,,
1,3,,"8,000.00",4,8,,
0,2,,"8,000.00",5,8,,
1,3,,"8,000.00",4,8,,
0,2,,"8,000.00",2,8,,
1,3,,"8,000.00",4,8,,
1,3,,"8,000.00",5,8,,
0,1,,"8,000.00",2,8,,
1,3,,"8,000.00",4,7,,
1,3,,"8,000.00",4,7,,
1,3,,"8,000.00",5,7,,
1,3,,"8,000.00",4,7,,
1,3,,"8,000.00",5,7,,
1,3,,"8,000.00",5,7,,
0,2,,"8,000.00",2,7,,
1,3,,"8,000.00",5,7,,
1,3,,"8,000.00",5,7,,
1,3,,"8,000.00",4,7,,
1,3,,"8,000.00",4,7,,
1,3,,"8,000.00",5,7,,
1,3,,"8,000.00",4,7,,
1,3,,"8,000.00",4,7,,
1,3,,"8,000.00",5,6,,
1,3,,"8,000.00",5,6,,
0,2,,"8,000.00",4,6,,
1,3,,"8,000.00",5,6,,
1,3,,"8,000.00",5,6,,
1,3,,"8,000.00",5,6,,
1,3,,"8,000.00",5,6,,
1,3,,"8,000.00",5,6,,
1,3,,"8,000.00",6,6,,
1,3,,"8,000.00",4,5,,
1,3,,"8,000.00",2,5,,
1,3,,"8,000.00",4,4,,
1,3,,"7,800.00",4,13,,
1,3,,"7,750.00",4,12,,
1,3,,"7,730.00",4,7,,
1,3,,"7,700.00",5,13,,
1,3,,"7,600.00",4,10,,
1,3,,"7,600.00",2,9,,
1,3,,"7,600.00",5,8,,
0,2,,"7,550.00",4,13,,
1,3,,"7,514.00",5,11,,
0,2,,"7,500.00",2,12,,
1,3,,"7,500.00",4,12,,
1,3,,"7,500.00",4,12,,
1,3,,"7,500.00",5,11,,
1,3,,"7,500.00",5,11,,
1,3,,"7,500.00",4,10,,
1,3,,"7,500.00",3,10,,
1,3,,"7,500.00",6,9,,
1,3,,"7,500.00",5,9,,
1,3,,"7,500.00",4,9,,
1,3,,"7,500.00",4,9,,
1,3,,"7,500.00",4,8,,
1,3,,"7,500.00",3,8,,
1,3,,"7,500.00",5,8,,
0,1,,"7,500.00",2,8,,
1,3,,"7,500.00",4,8,,
0,2,,"7,500.00",4,8,,
0,2,,"7,500.00",3,8,,
1,3,,"7,500.00",4,8,,
1,3,,"7,500.00",4,8,,
1,3,,"7,500.00",5,8,,
0,2,,"7,500.00",4,6,,
0,2,,"7,400.00",4,9,,
1,3,,"7,400.00",5,9,,
1,3,,"7,400.00",5,9,,
0,2,,"7,400.00",5,8,,
1,3,,"7,400.00",4,8,,
1,3,,"7,350.00",4,12,,
1,3,,"7,300.00",5,11,,
1,3,,"7,300.00",4,7,,
0,2,,"7,300.00",4,6,,
1,3,,"7,250.00",5,9,,
1,3,,"7,250.00",4,9,,
1,3,,"7,211.00",4,9,,
1,3,,"7,200.00",2,16,,
0,2,,"7,200.00",3,13,,
1,3,,"7,200.00",5,12,,
1,3,,"7,200.00",5,7,,
1,3,,"7,200.00",3,6,,
1,3,,"7,200.00",2,5,,
0,2,,"7,100.00",4,7,,
1,3,,"7,000.00",5,15,,
1,3,,"7,000.00",4,15,,
1,3,,"7,000.00",5,14,,
1,3,,"7,000.00",5,14,,
1,3,,"7,000.00",5,14,,
1,3,,"7,000.00",4,13,,
1,3,,"7,000.00",4,11,,
1,3,,"7,000.00",4,11,,
1,3,,"7,000.00",2,11,,
0,2,,"7,000.00",5,11,,
1,3,,"7,000.00",3,11,,
1,3,,"7,000.00",5,11,,
1,3,,"7,000.00",5,11,,
1,3,,"7,000.00",4,11,,
1,3,,"7,000.00",5,11,,
0,2,,"7,000.00",4,11,,
1,3,,"7,000.00",5,10,,
1,3,,"7,000.00",4,10,,
0,2,,"7,000.00",4,10,,
1,3,,"7,000.00",5,10,,
1,3,,"7,000.00",5,10,,
1,3,,"7,000.00",4,10,,
0,1,,"7,000.00",2,10,,
1,3,,"7,000.00",4,10,,
1,3,,"7,000.00",4,10,,
1,3,,"7,000.00",2,10,,
1,3,,"7,000.00",4,9,,
1,3,,"7,000.00",5,9,,
1,3,,"7,000.00",5,9,,
1,3,,"7,000.00",4,9,,
1,3,,"7,000.00",5,9,,
1,3,,"7,000.00",5,9,,
1,3,,"7,000.00",3,9,,
1,3,,"7,000.00",5,9,,
1,3,,"7,000.00",4,9,,
1,3,,"7,000.00",5,9,,
1,3,,"7,000.00",5,9,,
1,3,,"7,000.00",5,9,,
1,3,,"7,000.00",2,9,,
1,3,,"7,000.00",5,9,,
1,3,,"7,000.00",5,9,,
1,3,,"7,000.00",5,9,,
1,3,,"7,000.00",4,9,,
1,3,,"7,000.00",4,9,,
1,3,,"7,000.00",4,8,,
1,3,,"7,000.00",5,8,,
1,3,,"7,000.00",5,8,,
1,3,,"7,000.00",5,8,,
1,3,,"7,000.00",5,8,,
1,3,,"7,000.00",5,8,,
1,3,,"7,000.00",2,8,,
1,3,,"7,000.00",4,8,,
1,3,,"7,000.00",5,8,,
1,3,,"7,000.00",6,8,,
1,3,,"7,000.00",4,8,,
1,3,,"7,000.00",4,8,,
1,3,,"7,000.00",5,8,,
1,3,,"7,000.00",3,8,,
1,3,,"7,000.00",4,8,,
1,3,,"7,000.00",4,8,,
1,3,,"7,000.00",4,8,,
1,3,,"7,000.00",4,8,,
1,3,,"7,000.00",4,8,,
0,2,,"7,000.00",5,8,,
1,3,,"7,000.00",6,7,,
1,3,,"7,000.00",4,7,,
1,3,,"7,000.00",2,7,,
1,3,,"7,000.00",5,7,,
1,3,,"7,000.00",6,7,,
1,3,,"7,000.00",4,7,,
1,3,,"7,000.00",5,7,,
1,3,,"7,000.00",4,7,,
1,3,,"7,000.00",5,7,,
1,3,,"7,000.00",5,7,,
1,3,,"7,000.00",5,7,,
1,3,,"7,000.00",5,6,,
0,2,,"7,000.00",3,6,,
1,3,,"7,000.00",5,6,,
1,3,,"7,000.00",4,6,,
1,3,,"7,000.00",4,6,,
1,3,,"7,000.00",3,6,,
1,3,,"7,000.00",5,6,,
1,3,,"7,000.00",5,6,,
1,3,,"7,000.00",4,5,,
0,2,,"7,000.00",4,5,,
1,3,,"7,000.00",3,5,,
1,3,,"7,000.00",4,5,,
1,3,,"7,000.00",4,5,,
1,3,,"7,000.00",4,4,,
1,3,,"6,991.00",4,7,,
1,3,,"6,919.00",6,8,,
1,3,,"6,825.00",5,10,,
1,3,,"6,800.00",5,10,,
0,2,,"6,800.00",5,8,,
1,3,,"6,800.00",5,8,,
1,3,,"6,800.00",4,8,,
1,3,,"6,800.00",6,8,,
0,2,,"6,800.00",2,4,,
1,3,,"6,700.00",5,9,,
1,3,,"6,700.00",4,9,,
1,3,,"6,700.00",4,8,,
0,2,,"6,600.00",5,10,,
0,2,,"6,600.00",4,9,,
0,2,,"6,600.00",3,7,,
1,3,,"6,580.00",3,10,,
1,3,,"6,500.00",2,14,,
1,3,,"6,500.00",4,12,,
1,3,,"6,500.00",2,12,,
0,2,,"6,500.00",2,11,,
1,3,,"6,500.00",5,11,,
1,3,,"6,500.00",4,10,,
1,3,,"6,500.00",4,10,,
1,3,,"6,500.00",4,10,,
1,3,,"6,500.00",4,10,,
0,2,,"6,500.00",4,9,,
0,2,,"6,500.00",2,9,,
1,3,,"6,500.00",5,9,,
1,3,,"6,500.00",5,8,,
1,3,,"6,500.00",5,8,,
1,3,,"6,500.00",4,8,,
1,3,,"6,500.00",5,8,,
0,2,,"6,500.00",5,8,,
1,3,,"6,500.00",5,7,,
1,3,,"6,500.00",4,7,,
0,2,,"6,500.00",4,7,,
1,3,,"6,500.00",4,6,,
0,2,,"6,500.00",2,6,,
1,3,,"6,500.00",4,6,,
1,3,,"6,450.00",5,7,,
1,3,,"6,418.00",5,13,,
1,3,,"6,417.00",5,8,,
0,2,,"6,400.00",4,11,,
1,3,,"6,400.00",4,10,,
1,3,,"6,400.00",3,9,,
1,3,,"6,400.00",4,9,,
0,2,,"6,400.00",2,4,,
1,3,,"6,380.00",5,8,,
1,3,,"6,375.00",5,6,,
1,3,,"6,300.00",2,11,,
1,3,,"6,300.00",4,7,,
1,3,,"6,250.00",5,9,,
0,1,,"6,216.00",2,6,,
1,3,,"6,200.00",5,12,,
1,3,,"6,200.00",4,11,,
1,3,,"6,200.00",3,9,,
1,3,,"6,200.00",5,7,,
0,2,,"6,200.00",5,7,,
1,3,,"6,146.00",5,8,,
1,3,,"6,129.00",4,9,,
1,3,,"6,120.00",5,10,,
1,3,,"6,120.00",5,9,,
1,3,,"6,100.00",5,8,,
1,3,,"6,095.00",2,12,,
1,3,,"6,000.00",2,18,,
1,3,,"6,000.00",2,14,,
1,3,,"6,000.00",5,14,,
1,3,,"6,000.00",2,13,,
0,2,,"6,000.00",2,13,,
1,3,,"6,000.00",4,13,,
1,3,,"6,000.00",5,12,,
0,2,,"6,000.00",2,12,,
1,3,,"6,000.00",6,12,,
1,3,,"6,000.00",4,12,,
0,2,,"6,000.00",4,12,,
1,3,,"6,000.00",5,12,,
1,3,,"6,000.00",4,12,,
1,3,,"6,000.00",4,12,,
1,3,,"6,000.00",2,11,,
1,3,,"6,000.00",4,11,,
1,3,,"6,000.00",2,11,,
1,3,,"6,000.00",4,11,,
1,3,,"6,000.00",4,11,,
1,3,,"6,000.00",4,11,,
0,2,,"6,000.00",4,11,,
1,3,,"6,000.00",2,11,,
1,3,,"6,000.00",4,11,,
1,3,,"6,000.00",4,11,,
1,3,,"6,000.00",6,11,,
1,3,,"6,000.00",5,11,,
1,3,,"6,000.00",3,11,,
1,3,,"6,000.00",4,11,,
1,3,,"6,000.00",5,10,,
0,2,,"6,000.00",2,10,,
1,3,,"6,000.00",5,10,,
1,3,,"6,000.00",3,10,,
1,3,,"6,000.00",5,10,,
0,2,,"6,000.00",2,10,,
1,3,,"6,000.00",5,10,,
0,2,,"6,000.00",4,10,,
1,3,,"6,000.00",2,10,,
1,3,,"6,000.00",2,10,,
1,3,,"6,000.00",2,10,,
0,2,,"6,000.00",5,10,,
1,3,,"6,000.00",4,10,,
1,3,,"6,000.00",4,9,,
1,3,,"6,000.00",4,9,,
1,3,,"6,000.00",4,9,,
1,3,,"6,000.00",5,9,,
1,3,,"6,000.00",5,9,,
1,3,,"6,000.00",5,9,,
1,3,,"6,000.00",4,9,,
1,3,,"6,000.00",2,9,,
1,3,,"6,000.00",4,9,,
1,3,,"6,000.00",5,9,,
1,3,,"6,000.00",5,9,,
1,3,,"6,000.00",2,9,,
1,3,,"6,000.00",4,9,,
1,3,,"6,000.00",5,9,,
0,2,,"6,000.00",3,9,,
1,3,,"6,000.00",5,9,,
1,3,,"6,000.00",4,9,,
0,2,,"6,000.00",4,9,,
1,3,,"6,000.00",4,9,,
1,3,,"6,000.00",2,9,,
0,2,,"6,000.00",4,9,,
1,3,,"6,000.00",4,9,,
1,3,,"6,000.00",6,9,,
1,3,,"6,000.00",5,9,,
1,3,,"6,000.00",5,9,,
1,3,,"6,000.00",2,9,,
1,3,,"6,000.00",5,9,,
1,3,,"6,000.00",4,9,,
1,3,,"6,000.00",4,9,,
1,3,,"6,000.00",4,9,,
1,3,,"6,000.00",2,8,,
1,3,,"6,000.00",4,8,,
1,3,,"6,000.00",5,8,,
0,2,,"6,000.00",3,8,,
1,3,,"6,000.00",4,8,,
1,3,,"6,000.00",4,8,,
1,3,,"6,000.00",4,8,,
1,3,,"6,000.00",5,8,,
1,3,,"6,000.00",4,8,,
1,3,,"6,000.00",5,8,,
1,3,,"6,000.00",4,8,,
1,3,,"6,000.00",4,8,,
1,3,,"6,000.00",5,8,,
1,3,,"6,000.00",5,8,,
1,3,,"6,000.00",4,8,,
0,2,,"6,000.00",4,8,,
1,3,,"6,000.00",5,8,,
1,3,,"6,000.00",4,8,,
1,3,,"6,000.00",3,8,,
1,3,,"6,000.00",4,7,,
1,3,,"6,000.00",4,7,,
1,3,,"6,000.00",4,7,,
1,3,,"6,000.00",4,7,,
1,3,,"6,000.00",4,7,,
1,3,,"6,000.00",4,7,,
1,3,,"6,000.00",5,7,,
0,2,,"6,000.00",4,7,,
0,2,,"6,000.00",4,7,,
1,3,,"6,000.00",4,7,,
1,3,,"6,000.00",4,7,,
0,2,,"6,000.00",3,7,,
1,3,,"6,000.00",5,7,,
0,2,,"6,000.00",2,7,,
1,3,,"6,000.00",5,7,,
1,3,,"6,000.00",5,7,,
0,2,,"6,000.00",4,7,,
1,3,,"6,000.00",4,7,,
0,1,,"6,000.00",4,7,,
1,3,,"6,000.00",5,7,,
1,3,,"6,000.00",5,7,,
1,3,,"6,000.00",2,7,,
1,3,,"6,000.00",5,7,,
1,3,,"6,000.00",5,7,,
1,3,,"6,000.00",3,7,,
1,3,,"6,000.00",3,6,,
1,3,,"6,000.00",4,6,,
1,3,,"6,000.00",5,6,,
1,3,,"6,000.00",5,6,,
0,2,,"6,000.00",3,6,,
0,2,,"6,000.00",2,6,,
1,3,,"6,000.00",2,6,,
0,2,,"6,000.00",3,6,,
0,2,,"6,000.00",5,6,,
1,3,,"6,000.00",4,6,,
0,2,,"6,000.00",3,6,,
1,3,,"6,000.00",4,6,,
1,3,,"6,000.00",5,6,,
1,3,,"6,000.00",2,6,,
1,3,,"6,000.00",4,5,,
1,3,,"6,000.00",3,5,,
0,2,,"6,000.00",5,5,,
1,3,,"6,000.00",3,5,,
1,3,,"6,000.00",4,5,,
0,2,,"6,000.00",4,5,,
1,3,,"6,000.00",4,5,,
1,3,,"6,000.00",3,5,,
1,3,,"6,000.00",2,5,,
1,3,,"6,000.00",5,5,,
1,3,,"6,000.00",4,5,,
1,3,,"6,000.00",2,4,,
1,3,,"6,000.00",3,4,,
1,3,,"6,000.00",4,4,,
0,2,,"5,970.00",4,8,,
1,3,,"5,943.00",5,7,,
1,3,,"5,900.00",2,12,,
1,3,,"5,900.00",4,9,,
1,3,,"5,900.00",4,8,,
1,3,,"5,800.00",7,9,,
1,3,,"5,800.00",4,9,,
0,2,,"5,800.00",4,8,,
1,3,,"5,800.00",4,8,,
1,3,,"5,800.00",6,8,,
0,2,,"5,800.00",4,7,,
0,2,,"5,800.00",5,7,,
0,2,,"5,800.00",4,6,,
1,3,,"5,800.00",4,6,,
1,3,,"5,800.00",3,5,,
0,2,,"5,800.00",4,5,,
1,3,,"5,800.00",4,5,,
1,3,,"5,718.00",5,13,,
1,3,,"5,700.00",5,10,,
0,2,,"5,700.00",4,10,,
1,3,,"5,700.00",4,8,,
1,3,,"5,700.00",5,7,,
1,3,,"5,659.00",2,12,,
1,3,,"5,620.00",4,9,,
1,3,,"5,600.00",5,9,,
0,2,,"5,600.00",4,9,,
1,3,,"5,600.00",4,8,,
1,3,,"5,600.00",4,6,,
0,2,,"5,600.00",4,6,,
1,3,,"5,600.00",4,5,,
1,3,,"5,600.00",4,5,,
1,3,,"5,577.00",5,9,,
1,3,,"5,500.00",4,13,,
1,3,,"5,500.00",5,13,,
1,3,,"5,500.00",3,12,,
1,3,,"5,500.00",4,11,,
0,2,,"5,500.00",3,11,,
1,3,,"5,500.00",4,11,,
1,3,,"5,500.00",2,10,,
1,3,,"5,500.00",4,9,,
1,3,,"5,500.00",4,9,,
1,3,,"5,500.00",2,9,,
1,3,,"5,500.00",5,9,,
0,2,,"5,500.00",3,9,,
1,3,,"5,500.00",5,8,,
1,3,,"5,500.00",4,8,,
1,3,,"5,500.00",4,8,,
1,3,,"5,500.00",4,8,,
1,3,,"5,500.00",4,7,,
1,3,,"5,500.00",3,7,,
1,3,,"5,500.00",4,7,,
1,3,,"5,500.00",5,7,,
1,3,,"5,500.00",4,7,,
0,2,,"5,500.00",4,7,,
1,3,,"5,500.00",4,7,,
1,3,,"5,500.00",5,7,,
0,2,,"5,500.00",4,7,,
1,3,,"5,500.00",4,6,,
1,3,,"5,500.00",4,6,,
1,3,,"5,500.00",6,6,,
0,2,,"5,500.00",4,5,,
0,1,,"5,475.00",4,6,,
1,3,,"5,420.00",4,9,,
1,3,,"5,400.00",4,11,,
1,3,,"5,400.00",4,9,,
0,2,,"5,400.00",2,8,,
1,3,,"5,400.00",4,8,,
1,3,,"5,400.00",4,7,,
0,2,,"5,400.00",3,6,,
1,3,,"5,375.00",2,12,,
1,3,,"5,330.00",4,9,,
0,1,,"5,309.00",2,10,,
1,3,,"5,300.00",2,11,,
0,2,,"5,300.00",4,10,,
1,3,,"5,300.00",4,9,,
1,3,,"5,300.00",4,9,,
